"model_type","train_batch","species","horizon","skill"
"ar_scores",1,"DS",1,-0.235686578743212
"ar_scores",1,"DS",2,-0.213407566458282
"ar_scores",1,"DS",3,-0.181562117609032
"ar_scores",1,"DS",4,-0.204373980424143
"ar_scores",1,"DS",5,-0.286126026779281
"ar_scores",1,"DS",6,-0.213045461456591
"ar_scores",1,"PP",1,0.618122577421263
"ar_scores",1,"PP",2,0.617603262861914
"ar_scores",1,"PP",3,0.384085152900932
"ar_scores",1,"PP",4,0.510429599279063
"ar_scores",1,"PP",5,0.445406434874658
"ar_scores",1,"PP",6,0.452409075005963
"ar_scores",1,"PB",1,-0.72967239998608
"ar_scores",1,"PB",2,-0.251854132366979
"ar_scores",1,"PB",3,-0.0889637012754964
"ar_scores",1,"PB",4,-0.0331614879559071
"ar_scores",1,"PB",5,-0.221417353352016
"ar_scores",1,"PB",6,0.00838073882572936
"ar_scores",1,"PF",1,0.789330081135184
"ar_scores",1,"PF",2,0.736239383301237
"ar_scores",1,"PF",3,0.729848100442935
"ar_scores",1,"PF",4,0.692447936283784
"ar_scores",1,"PF",5,-0.306956464531634
"ar_scores",1,"PF",6,0.661432377022878
"ar_scores",2,"all_series",1,0.592962101216417
"ar_scores",2,"all_series",2,0.49392954797942
"ar_scores",2,"all_series",3,0.105568916611144
"ar_scores",2,"all_series",4,0.310861133284315
"ar_scores",2,"all_series",5,0.304445227372106
"ar_scores",2,"all_series",6,0.318755748196266
"ar_scores",2,"DO",1,0.915192485466094
"ar_scores",2,"DO",2,-1.06496891801353
"ar_scores",2,"DO",3,-1.55674943651038
"ar_scores",2,"DO",4,-5.03390597478167
"ar_scores",2,"DO",5,-1.10924418767391
"ar_scores",2,"DO",6,-3.76663268772039
"ar_scores",2,"DM",1,0.806173647626329
"ar_scores",2,"DM",2,0.731937154338884
"ar_scores",2,"DM",3,0.740143885294519
"ar_scores",2,"DM",4,0.700389573699305
"ar_scores",2,"DM",5,0.709012435227794
"ar_scores",2,"DM",6,0.684468212538167
"ar_scores",2,"DS",1,-0.235686578743212
"ar_scores",2,"DS",2,-0.213407566458282
"ar_scores",2,"DS",3,-0.181562117609032
"ar_scores",2,"DS",4,-0.204373980424143
"ar_scores",2,"DS",5,-0.286126026779281
"ar_scores",2,"DS",6,-0.213045461456591
"ar_scores",2,"PP",1,0.618122577421263
"ar_scores",2,"PP",2,0.617603262861914
"ar_scores",2,"PP",3,0.384085152900932
"ar_scores",2,"PP",4,0.510429599279063
"ar_scores",2,"PP",5,0.445406434874658
"ar_scores",2,"PP",6,0.452409075005963
"ar_scores",2,"PB",1,-0.72967239998608
"ar_scores",2,"PB",2,-0.251854132366979
"ar_scores",2,"PB",3,-0.0889637012754964
"ar_scores",2,"PB",4,-0.0331614879559071
"ar_scores",2,"PB",5,-0.221417353352016
"ar_scores",2,"PB",6,0.00838073882572936
"ar_scores",2,"PF",1,0.789330081135184
"ar_scores",2,"PF",2,0.736239383301237
"ar_scores",2,"PF",3,0.729848100442935
"ar_scores",2,"PF",4,0.692447936283784
"ar_scores",2,"PF",5,-0.306956464531634
"ar_scores",2,"PF",6,0.661432377022878
"ar_scores",3,"all_series",1,0.592962101216417
"ar_scores",3,"all_series",2,0.49392954797942
"ar_scores",3,"all_series",3,0.105568916611144
"ar_scores",3,"all_series",4,0.310861133284315
"ar_scores",3,"all_series",5,0.304445227372106
"ar_scores",3,"all_series",6,0.318755748196266
"ar_scores",3,"DO",1,0.915192485466094
"ar_scores",3,"DO",2,-1.06496891801353
"ar_scores",3,"DO",3,-1.55674943651038
"ar_scores",3,"DO",4,-5.03390597478167
"ar_scores",3,"DO",5,-1.10924418767391
"ar_scores",3,"DO",6,-3.76663268772039
"ar_scores",3,"DM",1,0.806173647626329
"ar_scores",3,"DM",2,0.731937154338884
"ar_scores",3,"DM",3,0.740143885294519
"ar_scores",3,"DM",4,0.700389573699305
"ar_scores",3,"DM",5,0.709012435227794
"ar_scores",3,"DM",6,0.684468212538167
"ar_scores",3,"DS",1,-0.235686578743212
"ar_scores",3,"DS",2,-0.213407566458282
"ar_scores",3,"DS",3,-0.181562117609032
"ar_scores",3,"DS",4,-0.204373980424143
"ar_scores",3,"DS",5,-0.286126026779281
"ar_scores",3,"DS",6,-0.213045461456591
"ar_scores",3,"PP",1,0.618122577421263
"ar_scores",3,"PP",2,0.617603262861914
"ar_scores",3,"PP",3,0.384085152900932
"ar_scores",3,"PP",4,0.510429599279063
"ar_scores",3,"PP",5,0.445406434874658
"ar_scores",3,"PP",6,0.452409075005963
"ar_scores",3,"PB",1,-0.72967239998608
"ar_scores",3,"PB",2,-0.251854132366979
"ar_scores",3,"PB",3,-0.0889637012754964
"ar_scores",3,"PB",4,-0.0331614879559071
"ar_scores",3,"PB",5,-0.221417353352016
"ar_scores",3,"PB",6,0.00838073882572936
"ar_scores",3,"PF",1,0.789330081135184
"ar_scores",3,"PF",2,0.736239383301237
"ar_scores",3,"PF",3,0.729848100442935
"ar_scores",3,"PF",4,0.692447936283784
"ar_scores",3,"PF",5,-0.306956464531634
"ar_scores",3,"PF",6,0.661432377022878
